TranslationRange	FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
0.188365	26	15.3157	61.114	10.5706	8.06788	69.5758	2.82809e-16	0.262682	0.708321	0.13432	0.19536	0.00980698	0.555753	0.629035
0.221309	24	10.7061	44.4083	5.86149	6.65025	54.1856	3.10891e-16	0.271066	1.4088	0.202694	0.13573	0.0265693	0.406052	0.471452
0.281838	30	6.25197	38.1046	2.95409	3.58857	57.9198	2.85418e-16	0.11913	0.309735	0.0688473	0.0865553	0.00165742	0.216187	0.733428
0.281838	32	6.29244	55.8697	3.96071	4.03657	14.9225	2.8942e-16	0.159758	1.17063	0.122042	0.0919004	0.00117197	0.196321	0.733428
0.358922	20	4.93232	44.7434	3.40722	3.28814	1.0268	2.87435e-16	0.0655901	0.50797	0.0340743	0.0523973	0.000683484	0.188531	0.833918
0.358922	22	5.62057	41.1925	3.00996	3.45082	30.5888	2.75839e-16	0.0560024	0.148295	0.0404905	0.0287147	0.00101931	0.237155	0.833918
0.421697	41	5.31035	51.5506	3.49831	2.21923	82.6951	2.85386e-16	0.0207396	0.0600537	0.0136537	0.0133828	2.51172e-05	0.14168	0.936334
0.49545	27	0.346252	4.21477	0.21749	0.112913	0.573999	2.93899e-16	0.0111175	0.0418399	0.00600324	0.00754936	3.16871e-05	0.0179535	0.997175
0.582103	31	0.0549982	0.31322	0.0223124	0.0455729	0.000856411	2.57985e-16	0.0189907	0.0573917	0.0099394	0.0145314	4.01777e-05	0.0021603	0.997199
0.870964	23	0.0572937	0.197237	0.0265594	0.0374602	0.00188119	3.01358e-16	0.0175823	0.0864042	0.00889741	0.0104091	0.000364629	0.00297129	0.9796
0.944061	24	0.0883721	1.28493	0.0626183	0.0550325	0.00690525	2.55945e-16	0.039687	0.469743	0.0217664	0.0310381	0.000187023	0.00502086	1.01959
0.944061	32	0.0321169	0.112532	0.0225649	0.012449	0.000923199	2.82298e-16	0.0123162	0.061858	0.00927057	0.0069594	8.88359e-06	0.00107118	1.01959
1.10917	28	0.03914	0.208223	0.0252638	0.0245771	0.000454464	2.9956e-16	0.0174322	0.0399653	0.0108611	0.0112413	3.85146e-05	0.0014577	1.01881
1.30317	29	0.0888652	0.569703	0.0554088	0.050251	0.00714828	3.04566e-16	0.0456873	0.317584	0.0322453	0.0297707	0.000207148	0.00377646	1.00001
1.41254	22	0.0324308	0.142153	0.0208569	0.018898	0.000240737	3.00023e-16	0.0227906	0.0894716	0.0154728	0.0117435	0.000246755	0.00146614	0.98
1.65959	25	0.0177782	0.10963	0.0134142	0.00826509	7.11119e-05	2.77501e-16	0.0144265	0.118489	0.010764	0.00857655	6.59072e-06	0.00051197	0.979992
1.94984	21	0.0211234	0.0597068	0.0157761	0.00998087	0.000106523	2.36974e-16	0.0200456	0.0611625	0.0148446	0.010602	4.08142e-05	0.000883163	0.980392
2.29087	29	0.0131048	0.0379901	0.00886282	0.00830805	8.53838e-06	2.74598e-16	0.0128007	0.036992	0.00943491	0.00762192	6.25376e-06	0.00034145	0.959592
2.48313	21	0.0244038	0.186922	0.0128952	0.017095	0.0003444	2.23296e-16	0.013348	0.0253902	0.00789621	0.00865469	2.96239e-05	0.00124499	0.939192
3.16228	33	0.0524179	0.652019	0.0296049	0.0387607	0.0018691	2.95619e-16	0.0520441	0.648083	0.0328914	0.0371091	0.00099071	0.000590207	0.999584
3.16228	40	0.0645003	0.590505	0.0393032	0.0474971	0.000509429	2.38926e-16	0.0852175	0.910351	0.045979	0.0677461	0.000833898	0.00169074	0.999584
4.36516	34	0.0268405	0.105565	0.0181625	0.0169243	5.12269e-05	2.73365e-16	0.0268039	0.0980723	0.0175354	0.0181415	5.99934e-05	0.000279116	0.999984
6.53131	31	0.0848438	0.360479	0.0501855	0.058985	0.00204747	2.78283e-16	0.0735046	0.371989	0.0426975	0.0540987	0.0019543	0.00102475	0.9992
9.01571	22	0.021572	0.113257	0.0153559	0.00956371	0.000348528	2.31493e-16	0.0201241	0.0886071	0.0143835	0.00816801	0.000297733	0.000316238	0.9604
9.01571	29	0.0227977	0.154274	0.012704	0.0170185	6.2447e-05	2.70474e-16	0.0186903	0.10924	0.0111843	0.0131317	4.57646e-05	0.000420261	0.9604
9.77237	17	0.00841716	0.029302	0.00449574	0.00587213	1.33252e-05	2.56862e-16	0.00878839	0.0375328	0.00552467	0.00561986	1.28324e-05	0.000268728	0.999208
13.4896	22	0.0199213	0.203304	0.016603	0.00638243	1.73218e-05	3.29862e-16	0.0205238	0.220406	0.0173675	0.0071838	8.52625e-06	0.000350505	0.999208
17.1791	21	0.0179938	0.0508878	0.0136442	0.00877816	5.78223e-05	2.95372e-16	0.016809	0.0496162	0.0132117	0.00819354	1.99557e-05	0.000662936	1.0004
17.1791	30	0.0170072	0.0434429	0.0138503	0.00784315	7.17239e-06	3.02396e-16	0.0184584	0.0563257	0.0145953	0.00962713	5.28737e-06	0.000295667	1.0004
20.1837	23	0.0661457	0.345597	0.0366519	0.0444479	0.0012533	2.71035e-16	0.0581324	0.31917	0.0388058	0.0333966	0.00071049	0.00201633	1.0196
20.1837	31	0.060754	0.457419	0.0494021	0.0263593	0.000950405	2.7121e-16	0.0528058	0.392065	0.0427318	0.0251032	0.000473676	0.000689885	1.0196
25.704	28	0.0173362	0.0456155	0.0123382	0.00850665	4.86836e-05	2.76372e-16	0.0160771	0.0402554	0.011468	0.00737184	8.39761e-05	0.00031241	0.960008
25.704	34	0.0185211	0.0736399	0.0130857	0.010031	0.000147881	2.98329e-16	0.0189557	0.0897563	0.0126401	0.010733	0.00021617	0.000186923	0.960008
38.4592	29	0.0170908	0.0768087	0.00866509	0.0121237	7.52967e-05	2.85789e-16	0.0142125	0.0790561	0.00892739	0.00877281	2.48395e-05	0.000372289	0.940384
45.1856	33	0.0148826	0.0297513	0.00846594	0.00939699	4.00017e-05	2.88905e-16	0.0133107	0.0298987	0.00889909	0.00776743	1.8014e-05	0.000325371	1.01998
53.0884	26	0.0119389	0.0452561	0.00856653	0.00558716	3.6378e-05	2.87531e-16	0.0121033	0.0511101	0.00932856	0.00589719	9.29025e-06	0.000305212	0.960008
62.3735	28	0.0159719	0.0421783	0.0119002	0.008427	9.19257e-06	2.53351e-16	0.0169498	0.0551149	0.0127392	0.00979641	6.57959e-06	0.000443479	0.978784
73.2825	31	0.0281261	0.178525	0.0179893	0.0176667	0.000241754	2.78588e-16	0.0253357	0.178779	0.017795	0.0155551	0.000122286	0.000407792	0.918392
79.4328	30	0.0140372	0.0591552	0.00988204	0.0081795	8.76698e-06	2.93127e-16	0.014358	0.0605235	0.0101302	0.00857158	1.07448e-05	0.000213304	0.998368
118.85	27	0.0106784	0.0307126	0.00768651	0.0053672	1.24649e-05	2.49822e-16	0.0116755	0.0343044	0.0086644	0.00554673	1.76552e-05	0.000152956	0.979576
118.85	28	0.012174	0.0400425	0.00818632	0.00757569	1.79498e-05	2.81973e-16	0.0136052	0.041657	0.00924486	0.00820901	2.57995e-05	0.000251031	0.979576
151.356	23	0.0117775	0.0335124	0.00718223	0.00631416	3.15509e-05	2.66659e-16	0.00988455	0.0299077	0.00631466	0.00533959	1.78203e-05	0.000353511	1.00001
164.059	25	0.0181376	0.0399943	0.0108003	0.0114533	6.45257e-05	2.84522e-16	0.0203881	0.044461	0.0122181	0.0130001	6.4058e-05	0.000596257	1.02
164.059	26	0.0159909	0.092682	0.0081064	0.0102369	0.000148457	2.36907e-16	0.0185433	0.147224	0.0131762	0.0105026	0.000283765	0.000836512	1.02
208.93	23	0.0108039	0.031742	0.00755306	0.00624066	1.91455e-05	2.93251e-16	0.0108111	0.0244353	0.00789459	0.00539869	1.81272e-05	0.000247557	1
208.93	40	0.0206686	0.0562217	0.0130392	0.0138593	8.39525e-05	2.8006e-16	0.0199102	0.0473073	0.0133789	0.0131533	5.93925e-05	0.00023366	1
367.282	27	0.0153726	0.0561517	0.00754498	0.0109831	5.69974e-05	2.8851e-16	0.0122954	0.0506802	0.00724451	0.00848922	1.40623e-05	0.00042067	0.999984
467.735	22	0.0114021	0.0447847	0.00509738	0.00614413	0.000133732	2.90699e-16	0.0111013	0.0419039	0.00489053	0.00657169	0.000118053	0.000218484	0.9804
467.735	37	0.0330854	0.186123	0.0248969	0.017863	9.53903e-05	2.48491e-16	0.0304851	0.164671	0.0239493	0.0146327	0.000103504	0.00045436	0.9804
467.735	43	0.0254814	0.101803	0.020099	0.0124004	5.98583e-05	3.24889e-16	0.0202149	0.0665659	0.015785	0.0109483	2.25954e-05	0.000442751	0.9804
595.662	26	0.013135	0.0373588	0.00819356	0.00889747	2.45814e-05	2.596e-16	0.0147605	0.0385826	0.00853393	0.0112148	1.20309e-05	0.000336903	0.9784
595.662	33	0.0196373	0.0471119	0.0150574	0.0101535	2.13665e-05	2.76547e-16	0.0198728	0.0500929	0.0146322	0.0119665	6.02026e-06	0.000273239	0.9784
645.654	27	0.0149214	0.0442534	0.0086138	0.00914069	4.67257e-05	2.73038e-16	0.0129887	0.0431783	0.00851724	0.00820459	1.29989e-05	0.000325033	0.979568
822.243	27	0.0469669	0.270139	0.0217378	0.0289215	0.00240056	2.47292e-16	0.0510709	0.255433	0.0247294	0.0321431	0.00212571	0.000816555	0.9404
822.243	34	0.0362642	0.311624	0.0203809	0.0263056	0.000251243	2.56329e-16	0.0327599	0.307351	0.0187029	0.0241991	0.000264716	0.000436561	0.9404
891.251	23	0.0147841	0.0495919	0.00733124	0.0106183	4.57066e-05	3.08978e-16	0.016183	0.0477802	0.00856991	0.0120732	2.30356e-05	0.00031044	0.998808
1047.13	19	0.0422148	0.38325	0.0305942	0.0161181	0.00299328	2.68715e-16	0.0385227	0.354769	0.0289254	0.0142921	0.00257835	0.000846523	0.9988
1047.13	27	0.0571765	0.556069	0.0469628	0.0239336	0.00231567	2.49992e-16	0.0615219	0.614033	0.049278	0.0268906	0.00398878	0.000520896	0.9988
1333.52	27	0.00955075	0.0410981	0.00587168	0.00515409	5.21856e-05	3.02011e-16	0.0106702	0.0436367	0.00690763	0.00592976	6.55685e-05	0.000276067	0.999992
1698.24	28	0.0168979	0.0717229	0.00893789	0.0111309	0.000184997	2.51181e-16	0.0187174	0.0871114	0.0100582	0.0127177	0.000215437	0.000361391	0.999584
1840.77	30	0.00875083	0.0364973	0.00542353	0.00583184	4.07631e-06	2.93016e-16	0.00881521	0.0381855	0.00533247	0.00633857	3.02471e-06	0.000137696	0.979992
2344.23	20	0.0122455	0.0446818	0.00711565	0.00788953	5.48107e-05	2.74381e-16	0.0123416	0.0381802	0.00779149	0.00729592	4.54974e-05	0.000448195	0.9792
2540.97	19	0.0171868	0.0603056	0.00948514	0.00942001	0.000193748	2.94321e-16	0.0175487	0.0617237	0.0102583	0.00944526	0.000201806	0.000276205	0.999584
2754.23	26	0.0111072	0.0374893	0.00740196	0.0064105	2.58168e-05	2.42535e-16	0.0108576	0.0375286	0.00745831	0.00654751	1.63885e-05	0.000208395	0.999992
