FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost
128	0.0597412	0.0377274	0.037671	0.00050606	0.0622206	0.0384719	0.0438694	4.11411e-05
129	0.059488	0.0374257	0.0375649	0.000531682	0.0644446	0.0402319	0.0455653	2.90009e-05
130	0.0531783	0.0323662	0.0344026	0.000478666	0.0592372	0.0349456	0.0435165	3.30599e-05
131	0.0582326	0.0367065	0.0369008	0.000398376	0.0622673	0.0395094	0.0432655	2.78124e-05
132	0.0635218	0.0400289	0.0391302	0.00085751	0.0651555	0.0417382	0.0448503	2.71666e-05
133	0.0593104	0.0381799	0.0370062	0.000414959	0.0653812	0.0412867	0.0455041	2.61018e-05
134	0.0524567	0.0318266	0.0345561	0.000386329	0.0580661	0.0349959	0.0418079	2.99078e-05
135	0.0522387	0.0333168	0.0320583	0.000356696	0.0561403	0.0360094	0.0384813	2.68852e-05
136	0.0633512	0.0401087	0.039293	0.000668064	0.0669671	0.0419152	0.0473726	2.92572e-05
137	0.0544709	0.0322922	0.0338501	0.000818772	0.0558941	0.0341018	0.0398469	2.79723e-05
138	0.054662	0.0343722	0.0342554	0.000528435	0.058351	0.0358356	0.0415715	2.667e-05
139	0.0529065	0.033126	0.0335295	0.000477526	0.0552968	0.0353781	0.0378557	2.55124e-05
140	0.0688467	0.0434426	0.0428159	0.000852747	0.0695087	0.045284	0.0467422	2.62214e-05
141	0.0493543	0.0309964	0.0306968	0.000417117	0.0530825	0.0319113	0.0380297	2.33893e-05
142	0.057157	0.0371438	0.0354702	0.000563667	0.0584409	0.0374621	0.0404339	2.25192e-05
143	0.0477675	0.0297393	0.0302781	0.000310632	0.0512509	0.0308717	0.0369429	2.57767e-05
144	0.0514433	0.0325283	0.0323506	0.000324392	0.0560104	0.0355613	0.0386691	2.44087e-05
145	0.055146	0.0341568	0.0350868	0.000480136	0.0581711	0.0368606	0.0405238	2.37711e-05
146	0.0501993	0.0328681	0.0298293	0.000320036	0.0534151	0.034176	0.0359574	4.8564e-05
147	0.0540362	0.034735	0.033639	0.000423176	0.0550168	0.0350742	0.0381717	2.2018e-05
