TranslationRange	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
62.3735	0.00511473	0.00878275	0.00163408	0.00150036	9.23975e-07	2.84096e-16	0.00513915	0.011777	0.00166922	0.0015929	5.47513e-07	4.35828e-05	0.96
67.6083	0.00540699	0.0102032	0.00173353	0.00156876	1.15078e-06	2.83202e-16	0.00533407	0.0134115	0.00177759	0.00162848	5.50383e-07	5.13171e-05	0.92
73.2825	0.00502599	0.00945939	0.0016024	0.00148753	9.12044e-07	2.8586e-16	0.00496445	0.0129347	0.00162032	0.00154465	5.19113e-07	4.4643e-05	0.96
79.4328	0.0050826	0.00819985	0.00162695	0.00149977	9.07869e-07	2.79921e-16	0.00501504	0.0109919	0.0016478	0.00153079	5.28751e-07	4.30588e-05	0.94
86.0994	0.00518962	0.0108862	0.00166194	0.00151778	1.06789e-06	2.83047e-16	0.00509375	0.0155736	0.00167356	0.0015675	5.29176e-07	4.88248e-05	0.98
93.3254	0.00483548	0.00965679	0.00152683	0.00142177	9.33005e-07	2.81506e-16	0.00479316	0.0113254	0.00156034	0.00148473	4.97882e-07	4.55104e-05	1
101.158	0.00530383	0.0105118	0.00170508	0.00156408	1.01349e-06	2.80429e-16	0.0052831	0.0131749	0.0017345	0.00163962	5.48735e-07	4.49309e-05	0.96
109.648	0.00545475	0.00825938	0.00173413	0.00161376	1.05683e-06	2.83963e-16	0.00535488	0.0109743	0.00175233	0.00165795	5.86848e-07	4.69071e-05	1
118.85	0.00485126	0.00793663	0.00153706	0.00143346	8.77285e-07	2.84587e-16	0.00482379	0.0107574	0.00156457	0.00149364	5.21382e-07	4.17601e-05	0.94
128.825	0.00505876	0.0110849	0.00161088	0.00148459	9.76722e-07	2.79171e-16	0.00502085	0.0157988	0.00166748	0.00151741	5.31626e-07	4.72276e-05	0.92
139.637	0.00511504	0.00903988	0.00164233	0.00149238	9.62254e-07	2.82664e-16	0.0050758	0.0123811	0.00166908	0.00155012	5.40259e-07	4.18971e-05	0.96
151.356	0.00480406	0.00867912	0.00151884	0.001412	9.60697e-07	2.8381e-16	0.00478107	0.0122249	0.00156208	0.0014749	5.08585e-07	4.7333e-05	0.92
164.059	0.00537618	0.0164534	0.00174781	0.00154121	1.1096e-06	2.8644e-16	0.00528234	0.0210988	0.00175424	0.00161999	5.67862e-07	4.7669e-05	0.96
177.828	0.00499407	0.00943516	0.00158526	0.00145138	1.00681e-06	2.82279e-16	0.00496261	0.0136646	0.00162001	0.00153386	5.15617e-07	4.66561e-05	1
192.752	0.00556336	0.01105	0.00178609	0.00163598	1.19526e-06	2.84669e-16	0.00543244	0.0151362	0.00180602	0.00165782	5.80517e-07	4.84577e-05	0.98
