FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost
153	0.0778799	0.0445459	0.050955	0.00963728	0.0176402	0.0127954	0.0110279	6.52869e-07
154	0.0510098	0.0324573	0.0329722	0.00204517	0.0182902	0.0117501	0.0126609	7.41803e-07
155	0.0865143	0.0312454	0.0585435	0.122562	0.0162421	0.0112652	0.0105874	4.32318e-07
156	0.04867	0.0230436	0.0314093	0.00878372	0.0171305	0.0127379	0.0101586	1.46365e-06
157	0.0478475	0.0337549	0.0259413	0.00387736	0.0160144	0.0114422	0.00921632	3.88842e-07
158	0.0391545	0.0256464	0.0221975	0.00326557	0.0184065	0.0136322	0.0107402	6.4027e-07
159	0.0568166	0.0325847	0.039733	0.00062757	0.0188757	0.0140844	0.0108799	7.48257e-07
160	0.0606143	0.0305496	0.0419534	0.00396982	0.0204152	0.013684	0.0136196	2.02782e-06
161	0.045205	0.0288111	0.0271316	0.000611772	0.0206831	0.0143381	0.0129467	1.88302e-06
162	0.066146	0.0427023	0.0434212	0.00604876	0.0333186	0.0228192	0.022407	7.30551e-06
163	0.0900271	0.0439334	0.0621813	0.0223965	0.0211877	0.0154121	0.0122377	1.50784e-06
164	0.070847	0.0390015	0.0485969	0.00654503	0.0293688	0.020698	0.0187222	2.02969e-06
165	0.0363697	0.0218369	0.0229554	0.000455937	0.0171814	0.0119576	0.011024	5.68034e-07
166	0.142508	0.0946266	0.0923715	0.00737538	0.029176	0.0224026	0.0166474	1.82881e-06
167	0.100201	0.0603291	0.0637551	0.0125657	0.0256447	0.0188503	0.0160007	6.76782e-07
168	0.0724737	0.0457382	0.036807	0.0239238	0.0198078	0.0138047	0.0124189	5.24461e-07
169	0.0672388	0.0419881	0.0353895	0.00692925	0.0248454	0.0184479	0.0147065	1.49214e-06
170	0.226587	0.172826	0.127378	0.0212489	0.0258009	0.0168626	0.0172142	6.76914e-07
171	0.0654172	0.0492866	0.0284406	0.00493671	0.0224459	0.0158428	0.0139059	1.10943e-06
172	0.033165	0.0205459	0.0212207	0.000355691	0.0188713	0.0125717	0.0129874	5.03882e-07
173	0.0682589	0.0385317	0.039895	0.014219	0.0204826	0.0148209	0.0125618	3.57283e-07
174	0.12414	0.0951165	0.0718493	0.000596366	0.0230381	0.0148361	0.0147959	6.89764e-07
175	0.0637196	0.0410173	0.0305297	0.0104136	0.0183388	0.0130854	0.0113197	3.93043e-07
176	0.0565416	0.0414352	0.026663	0.00113008	0.031785	0.0205464	0.0225625	3.047e-07
177	0.0509248	0.0306035	0.028788	0.002164	0.0275517	0.0195711	0.0177674	1.28013e-06
178	0.0544795	0.0269609	0.0401948	0.000897791	0.0324823	0.0210244	0.0230639	2.54277e-06
179	0.0640541	0.0437304	0.0262774	0.00883617	0.0197378	0.0152235	0.0108537	1.66406e-07
180	0.215968	0.134989	0.129962	0.0264009	0.0274545	0.0207791	0.0164038	5.91513e-07
181	0.162199	0.102278	0.0586612	0.23947	0.0269021	0.0200365	0.0163677	4.3631e-07
182	0.0290821	0.0152443	0.0196246	0.000284383	0.0183948	0.0116788	0.0122554	1.78717e-07
183	0.0823652	0.0539735	0.0475136	0.00359516	0.0219324	0.0162394	0.0124708	1.24124e-07
184	0.0716105	0.0458908	0.0453777	0.00134522	0.0287022	0.0208258	0.0175247	3.3297e-07
185	0.206457	0.0663899	0.145444	0.289797	0.0299093	0.0200311	0.0188136	7.11628e-07
186	0.0442063	0.0261973	0.0255888	0.000829966	0.026829	0.0189928	0.0166337	4.12375e-06
187	0.056841	0.0273313	0.0379801	0.00189127	0.029056	0.0188884	0.0189552	3.14054e-07
188	0.054074	0.0334614	0.033034	0.00213171	0.0286301	0.0195172	0.0168375	2.1146e-07
