FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost
68	0.00619592	0.624504	0.0038388	0.00384543	1.71166e-05	2.78915e-16	0.00620917	0.78252	0.00389344	0.00398279	1.03595e-05	4.54133e-05
69	0.00587039	0.270134	0.00351104	0.0036571	3.08084e-05	2.74407e-16	0.00577822	0.212813	0.00362228	0.00362212	1.65711e-05	4.69202e-05
70	0.00605868	0.134834	0.00375767	0.00370049	1.44522e-05	2.84377e-16	0.00593225	0.132375	0.00382139	0.00362615	9.96392e-06	4.4775e-05
71	0.0633465	87.9436	0.0587218	0.0178024	0.0582273	2.8041e-16	4.20463	6519.66	3.60278	0.0618932	7252.31	0.00162585
72	0.00628321	0.110786	0.0038128	0.00397845	1.39464e-05	2.80759e-16	0.00694614	1.11404	0.00420514	0.00453052	0.000146791	6.43258e-05
73	0.00626158	0.10024	0.00392451	0.00383153	1.05664e-05	2.81932e-16	0.00611906	0.0907159	0.00388471	0.00382245	8.22342e-06	4.2202e-05
74	0.00659626	0.193668	0.00425766	0.00392796	2.38038e-05	2.81788e-16	0.00655942	0.236411	0.00424669	0.00407556	1.46649e-05	4.77433e-05
75	0.00636424	0.190133	0.00403043	0.00391035	1.52981e-05	2.83593e-16	0.00637444	0.210566	0.00410545	0.00402024	9.0628e-06	4.10973e-05
76	0.00655057	0.189519	0.00403042	0.00410489	1.93514e-05	2.81438e-16	0.0064135	0.168384	0.00408555	0.00404235	1.31283e-05	4.82018e-05
77	0.0070932	0.320801	0.00442169	0.00436024	5.2028e-05	2.84751e-16	0.00705817	0.305666	0.00464641	0.00435798	1.36235e-05	4.58916e-05
78	0.00735239	0.308586	0.00457894	0.00466013	1.86518e-05	2.84019e-16	0.00732695	0.308404	0.00466721	0.00474048	1.07421e-05	4.65269e-05
79	0.00701703	0.253852	0.00421958	0.0043901	4.59991e-05	2.83107e-16	0.00680748	0.257663	0.00426538	0.00435895	2.74041e-05	4.66046e-05
80	0.27096	296.697	0.0706928	0.250377	5.36736	2.85816e-16	27.8301	31245.7	27.8033	0.377284	1372.71	0.00222687
81	0.0069237	0.231059	0.00428578	0.00440059	2.5951e-05	2.81846e-16	0.0107663	4.4695	0.00594983	0.00787131	0.0015603	0.000119405
82	0.00642778	0.243045	0.00392932	0.00412361	1.12082e-05	2.81538e-16	0.00825301	2.08523	0.0048255	0.00589581	8.97199e-05	8.19146e-05
83	0.115967	104.373	0.111905	0.0161235	0.169526	2.78882e-16	5.9767	5701.53	5.62262	0.140909	3874.8	0.00260557
84	0.00654249	0.167512	0.0041358	0.00414937	8.82135e-06	2.84788e-16	0.00637499	0.1365	0.00411166	0.00404297	6.71471e-06	4.13853e-05
85	0.14268	125.844	0.11645	0.0804204	0.0535621	2.81484e-16	15.7688	14580.2	13.068	0.138265	71933.8	0.00269015
86	0.0071496	0.157079	0.0046529	0.00429973	1.70873e-05	2.80041e-16	0.00691688	0.14436	0.00464342	0.00425691	1.19722e-05	4.14961e-05
87	0.0075445	0.294411	0.00452364	0.00496732	1.80635e-05	2.8408e-16	0.00736007	0.30441	0.00465048	0.00484392	9.56423e-06	4.43217e-05
88	0.537869	443.014	0.502307	0.136576	13.6533	2.8543e-16	48.7121	40668.5	48.7086	0.178005	48.4003	0.00207342
89	0.00711027	0.272714	0.00454974	0.00450297	1.50142e-05	2.8431e-16	0.0110991	3.4905	0.00618341	0.00831603	0.000100059	0.000111109
90	0.315271	145.564	0.218476	0.178125	2.67909	2.79484e-16	13.9201	10461	12.9052	0.143157	20327.2	0.00499541
91	0.00789226	0.227526	0.00473508	0.00537842	1.55042e-05	2.75108e-16	0.00785473	0.280109	0.00485296	0.00534654	1.9258e-05	4.6942e-05
92	0.00795003	0.613282	0.0051067	0.00515715	1.69041e-05	2.81782e-16	0.0076505	0.452208	0.00497466	0.00493489	1.76403e-05	4.54243e-05
93	2.88815	2022.18	2.4214	1.01135	1014.08	2.79817e-16	20.6685	14504.1	17.8612	0.301824	75775.7	0.00215536
94	0.0078939	0.238693	0.00490751	0.00521088	1.16426e-05	2.74711e-16	0.00779498	0.240275	0.00493042	0.0051531	2.67485e-05	4.40847e-05
95	0.00787973	0.295096	0.0050109	0.00507095	9.62952e-06	2.85937e-16	0.00773481	0.32013	0.00498276	0.00512742	6.27774e-06	4.31125e-05
96	0.00749375	0.315469	0.00488884	0.00462391	2.01243e-05	2.7844e-16	0.00727205	0.331607	0.00498199	0.00451269	4.74119e-06	3.89156e-05
97	0.00816059	0.205295	0.00471849	0.00547179	3.51985e-05	2.86127e-16	0.00788011	0.207543	0.00483105	0.0054192	7.04883e-06	4.10342e-05
98	0.00744977	0.200125	0.00480712	0.00450823	7.87845e-06	2.7682e-16	0.0106214	2.12348	0.00624494	0.00761986	0.000169006	9.04154e-05
99	0.00824148	0.687815	0.00527215	0.00531501	1.48671e-05	2.8367e-16	0.00813326	0.764147	0.00552211	0.00521977	3.15663e-05	4.68855e-05
100	0.00813514	0.243207	0.00507218	0.00531897	2.19236e-05	2.76961e-16	0.00797218	0.283884	0.00509726	0.00530052	3.70758e-06	4.61098e-05
101	0.00787347	0.1436	0.00496752	0.00494135	2.89385e-05	2.74112e-16	0.00790514	0.13703	0.00510789	0.00497623	3.78212e-05	3.97331e-05
102	0.00858669	0.28751	0.00583346	0.0051226	3.63812e-05	2.74925e-16	0.00826779	0.318452	0.00590015	0.00503961	3.97174e-06	4.7296e-05
