FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
41	0.00941302	0.0066427	0.00531043	8.89032e-06	2.86953e-16	0.00903158	0.00665499	0.00525589	8.27386e-07	0.000137048	1
42	0.00846781	0.00589794	0.00480424	8.92659e-06	2.87243e-16	0.00826844	0.00607716	0.00491212	5.48053e-07	0.000130803	0.94
43	0.0087363	0.00609086	0.00496868	1.14153e-05	2.80053e-16	0.00843289	0.00626163	0.00486326	5.47087e-07	0.000130935	0.96
44	0.00644605	0.0043778	0.00378794	4.15507e-06	2.77381e-16	0.006481	0.00467815	0.00393302	3.64286e-07	9.80425e-05	0.94
45	0.00670036	0.00474565	0.00379571	5.24621e-06	2.78675e-16	0.00658181	0.00492259	0.00377544	2.93958e-07	9.10774e-05	1
46	0.00623063	0.00439519	0.00348414	4.63359e-06	2.82443e-16	0.00615678	0.00452245	0.00360799	2.45137e-07	9.08889e-05	0.98
47	0.00646928	0.00457351	0.00351743	7.93876e-06	2.78522e-16	0.00609604	0.00465129	0.00331505	2.12363e-07	9.47769e-05	0.96
48	0.00428669	0.00297719	0.00244939	2.00955e-06	2.83135e-16	0.00415314	0.00302538	0.00245027	1.34383e-07	5.48849e-05	0.98
49	0.00357382	0.00250033	0.00199299	1.36383e-06	2.77696e-16	0.00375185	0.0026445	0.00226245	1.02136e-06	5.18554e-05	0.94
50	0.00332291	0.00225628	0.00192624	1.18263e-06	2.81987e-16	0.00323384	0.00231244	0.00198453	8.75937e-08	4.27469e-05	0.94
51	0.00309171	0.0021544	0.00177384	1.12843e-06	2.80241e-16	0.00294121	0.00215149	0.0017365	6.21573e-08	3.75663e-05	1
52	0.0032773	0.00236486	0.00176227	1.34025e-06	2.79465e-16	0.00319048	0.00240878	0.00178171	5.27338e-08	3.82044e-05	0.98
53	0.00240541	0.0016867	0.00138338	7.00619e-07	2.79545e-16	0.00229608	0.00171523	0.00132039	3.04621e-08	2.9821e-05	0.98
54	0.00191184	0.00134253	0.00107209	4.8751e-07	2.89409e-16	0.00180567	0.00132818	0.00107447	2.24185e-08	2.20792e-05	0.9
55	0.00185071	0.00130928	0.00104617	3.91813e-07	2.79768e-16	0.00181884	0.00137299	0.00103864	1.69797e-08	2.1176e-05	0.96
56	0.000982196	0.000672533	0.00056608	1.40128e-07	2.83461e-16	0.000930268	0.000675918	0.00056568	6.82141e-09	1.23619e-05	0.96
57	0.000939138	0.000664187	0.000528191	1.02354e-07	2.80183e-16	0.000904414	0.000676918	0.00051817	4.42335e-09	9.98462e-06	0.98
58	0.000635145	0.000443813	0.00036477	6.31745e-08	2.81055e-16	0.000590576	0.000445888	0.000333839	1.76111e-09	6.85494e-06	0.9
59	0.000259449	0.000183457	0.000147206	6.49628e-09	2.81551e-16	0.000252722	0.000185123	0.00015104	3.84383e-10	2.73484e-06	0.96
60	7.82751e-09	4.69973e-09	4.86345e-09	1.1936e-16	2.76687e-16	2.12969e-08	1.12036e-08	1.4522e-08	7.24879e-16	4.69058e-10	1
61	0.000226108	0.000156823	0.000132349	6.74606e-09	2.79705e-16	0.000217594	0.000160952	0.000128219	3.19682e-10	2.53054e-06	0.96
62	0.000574946	0.000390484	0.000343261	3.90812e-08	2.7034e-16	0.000581481	0.000412368	0.000337311	8.39268e-08	7.04345e-06	0.9
63	0.000823852	0.000589073	0.000458483	6.33264e-08	2.71519e-16	0.00078568	0.000598113	0.000443063	3.23622e-09	7.23409e-06	0.94
64	0.00106419	0.00076058	0.000591025	1.76287e-07	2.76714e-16	0.00102983	0.000808146	0.000552612	6.01554e-09	1.1562e-05	0.92
65	0.00111472	0.000785961	0.000628106	1.90592e-07	2.84605e-16	0.00106866	0.000775979	0.000639319	2.82309e-08	1.04418e-05	0.94
66	0.0016096	0.00114475	0.000922899	2.48311e-07	2.81297e-16	0.00155593	0.00114735	0.00092978	1.30803e-08	1.42157e-05	1
67	0.00169079	0.00120456	0.000945321	3.04655e-07	2.80426e-16	0.00154856	0.00118948	0.000856458	1.51833e-08	1.40303e-05	1
68	0.00184799	0.00130443	0.00104302	3.57491e-07	2.85559e-16	0.0018179	0.00133341	0.00107457	1.89654e-08	1.37128e-05	0.94
69	0.00178448	0.00124042	0.00107888	2.66234e-07	2.79022e-16	0.00171928	0.00124315	0.00105288	2.0399e-08	1.24498e-05	1
70	0.00246251	0.00171603	0.00141947	1.44204e-06	2.75972e-16	0.00218415	0.00162442	0.00126023	2.61299e-08	2.18466e-05	0.9
71	0.00231464	0.00163801	0.00133023	4.04327e-07	2.83677e-16	0.00222995	0.00165891	0.00126496	3.17603e-08	1.57958e-05	1
72	0.00274909	0.0019112	0.00160609	1.1042e-06	2.78213e-16	0.00252594	0.00188886	0.0014454	3.58699e-08	2.22162e-05	1
73	0.00277418	0.0019141	0.00163337	1.17035e-06	2.80669e-16	0.00259928	0.00188838	0.00157955	3.67184e-08	1.80046e-05	0.98
74	0.00277091	0.0018852	0.00162145	1.54448e-06	2.73383e-16	0.00248422	0.00181292	0.00147349	3.77001e-08	2.35513e-05	1
75	0.0030073	0.0021274	0.00173786	7.03371e-07	2.78237e-16	0.00293422	0.00216117	0.00171761	5.58505e-08	2.12163e-05	0.94
76	0.0039613	0.00281024	0.00220639	2.01942e-06	2.8344e-16	0.00369426	0.00271378	0.00216293	6.7253e-08	2.77504e-05	0.96
77	0.00340293	0.00238131	0.00198998	9.65901e-07	2.82985e-16	0.0031664	0.00232537	0.00182226	6.59099e-08	2.29231e-05	0.94
78	0.00307008	0.00203466	0.00188832	1.03957e-06	2.83802e-16	0.00293606	0.00204693	0.00187777	6.39265e-08	2.45424e-05	0.98
79	0.00368739	0.0025163	0.00225042	1.29868e-06	2.85301e-16	0.00348261	0.00246557	0.00218007	8.70631e-08	2.27462e-05	0.98
80	0.00402967	0.002774	0.00237877	1.7286e-06	2.7797e-16	0.0038087	0.00271907	0.00230064	7.8399e-08	2.31933e-05	0.98
81	0.00369049	0.00242362	0.00227943	2.24181e-06	2.85392e-16	0.00336457	0.00238981	0.00204742	9.06726e-08	2.68211e-05	1
82	0.0042658	0.00297332	0.00246096	1.22306e-06	2.86393e-16	0.004101	0.00301396	0.00238221	1.01262e-07	2.27703e-05	1
83	0.00347155	0.00231484	0.00214345	1.04568e-06	2.7483e-16	0.00334986	0.00232754	0.00210989	8.80582e-08	2.37928e-05	0.94
84	0.00499245	0.00343704	0.00295383	2.25869e-06	2.85622e-16	0.00471167	0.00347592	0.00274816	1.17014e-07	2.88831e-05	0.96
85	0.00399205	0.00267569	0.00240365	1.98471e-06	2.84051e-16	0.00376389	0.0027108	0.00226812	1.21641e-07	3.20164e-05	0.98
86	0.00500741	0.0033776	0.00297387	2.25794e-06	2.83574e-16	0.00466577	0.0033458	0.00285312	1.69082e-07	3.27457e-05	0.98
87	0.00580454	0.00373429	0.00350557	1.38144e-05	2.81621e-16	0.00496397	0.00360154	0.00287978	1.88995e-07	4.03632e-05	0.96
88	0.00530439	0.00366406	0.00314571	2.17432e-06	2.80619e-16	0.00499558	0.00361348	0.00300922	1.60045e-07	3.10908e-05	0.96
89	0.00620123	0.00412599	0.00385873	5.20592e-06	2.83566e-16	0.00566647	0.00403731	0.00347396	2.02325e-07	3.73123e-05	0.96
90	0.0071352	0.00486723	0.00431725	6.05189e-06	2.78767e-16	0.00676502	0.00494385	0.00399454	1.92035e-07	4.08331e-05	0.96
91	0.0056484	0.00365269	0.0036254	2.92102e-06	2.83416e-16	0.00556153	0.0037515	0.00365907	2.11388e-07	3.12013e-05	0.98
92	0.00567306	0.00385751	0.00344041	2.0144e-06	2.76074e-16	0.00543769	0.0038719	0.00328952	1.88145e-07	3.03971e-05	1
93	0.00687454	0.00475401	0.0040455	6.04134e-06	2.83544e-16	0.00655537	0.00479158	0.00383834	2.13051e-07	3.7969e-05	0.94
94	0.00554516	0.00359688	0.00349233	2.66958e-06	2.86531e-16	0.00531168	0.0036103	0.00343338	2.07317e-07	3.26289e-05	0.98
95	0.00648869	0.00426773	0.00403564	6.12397e-06	2.75969e-16	0.00608721	0.00420375	0.00386766	2.52388e-07	4.00534e-05	0.98
96	0.00590513	0.00389811	0.00367173	5.34345e-06	2.76262e-16	0.00558284	0.00393903	0.00344146	2.56108e-07	3.8409e-05	0.96
97	0.00682006	0.00454172	0.00428516	5.22286e-06	2.84777e-16	0.00634685	0.00454018	0.00393277	2.66534e-07	4.12824e-05	0.96
98	0.00715422	0.00479738	0.00438286	7.16382e-06	2.81431e-16	0.00685047	0.00501831	0.00406947	2.94062e-07	3.9165e-05	1
99	0.0288587	0.0142625	0.0193581	0.00587394	2.82978e-16	0.0264794	0.015432	0.018413	0.00140373	0.000249146	0.96
100	0.00649104	0.00429584	0.00396157	3.44624e-06	2.86966e-16	0.00607647	0.00431321	0.00369578	3.04508e-07	3.42066e-05	0.98
101	0.0079006	0.00502125	0.00487292	9.2833e-06	2.77953e-16	0.00735308	0.00491725	0.00472928	3.85551e-07	4.71524e-05	0.96
102	0.00720621	0.00481261	0.00443545	4.38052e-06	2.7666e-16	0.00686388	0.00481269	0.0042659	4.50413e-07	3.73628e-05	0.94
103	0.00690082	0.00453506	0.0043625	5.81242e-06	2.71765e-16	0.00640646	0.00441981	0.00408932	3.55915e-07	3.02056e-05	1
104	0.00678597	0.00414699	0.00453517	4.42166e-06	2.88793e-16	0.00656505	0.00427264	0.00440369	4.0877e-07	3.5538e-05	0.96
105	0.00951174	0.00630114	0.00565293	1.43569e-05	2.77014e-16	0.0088391	0.00640054	0.00522666	5.05135e-07	5.91968e-05	0.94
106	0.0104832	0.00702164	0.00641124	9.50976e-06	2.77774e-16	0.00958637	0.00682261	0.00585611	4.78635e-07	5.00086e-05	0.96
107	0.0105137	0.00691485	0.00653202	1.83917e-05	2.75774e-16	0.00964846	0.00692384	0.00582225	5.28893e-07	6.00467e-05	0.9
108	0.00924904	0.00596821	0.0059774	7.95605e-06	2.79536e-16	0.00882255	0.00597678	0.00576508	5.21293e-07	4.41768e-05	0.96
109	0.00987282	0.00620249	0.00620891	1.93691e-05	2.78379e-16	0.00920422	0.00614594	0.00607274	6.06589e-07	5.74853e-05	0.92
110	0.0113814	0.00755545	0.00703132	1.26794e-05	2.75764e-16	0.0108666	0.00756226	0.00684445	6.85413e-07	5.36358e-05	0.98
111	0.0107504	0.00715623	0.00669403	1.52494e-05	2.78307e-16	0.0103201	0.00719816	0.00658964	7.15551e-07	5.14e-05	0.96
112	0.00718346	0.00471832	0.00453987	4.06963e-06	2.801e-16	0.00697309	0.0047424	0.00443967	4.88939e-07	3.08972e-05	0.9
113	0.0095255	0.006086	0.00613141	9.08743e-06	2.81933e-16	0.00911552	0.00614718	0.00588833	6.94241e-07	4.23562e-05	0.96
114	0.0103997	0.00660928	0.00685821	6.24749e-06	2.82694e-16	0.0103479	0.00669517	0.00695989	6.52986e-07	4.10372e-05	0.96
115	0.0116618	0.00780388	0.00688594	5.08606e-05	2.84253e-16	0.0108826	0.00778576	0.00660776	6.00465e-07	6.10682e-05	0.98
116	0.0112914	0.00748141	0.00691168	1.75683e-05	2.80737e-16	0.0103494	0.00724486	0.00642199	7.70152e-07	5.10477e-05	0.9
117	0.0106713	0.00640516	0.00694694	2.32179e-05	2.8354e-16	0.00945063	0.006325	0.00624285	6.38722e-07	5.70383e-05	0.94
118	0.0103006	0.006364	0.00671973	1.4349e-05	2.69034e-16	0.0093655	0.00622427	0.0061002	6.61862e-07	5.30499e-05	1
119	0.0137739	0.00920022	0.00833058	2.16495e-05	2.82477e-16	0.0132278	0.00934213	0.0080176	7.95059e-07	5.91853e-05	1
120	0.01076	0.0066675	0.00681225	2.14285e-05	2.8211e-16	0.0102869	0.00672827	0.0067867	8.58334e-07	5.90477e-05	0.96
121	0.0126347	0.00814009	0.00779612	3.47337e-05	2.7475e-16	0.0121956	0.00829638	0.00789005	9.33458e-07	6.74702e-05	0.96
122	0.0615866	0.03527	0.0445588	0.00632648	2.67248e-16	0.0605739	0.0355771	0.0438108	0.00458108	0.000249383	1
123	0.0125124	0.00802608	0.00781705	2.0795e-05	2.80471e-16	0.0121391	0.00842375	0.00758257	1.08794e-06	6.29196e-05	0.98
124	0.0141642	0.00896435	0.00908263	1.89102e-05	2.78095e-16	0.0135358	0.00911662	0.00877758	1.14531e-06	6.88326e-05	0.96
125	0.0116458	0.00715524	0.00745646	1.53332e-05	2.79718e-16	0.0109343	0.0072128	0.00720685	8.84966e-07	5.90839e-05	0.98
126	0.0115082	0.00749554	0.00737356	2.92294e-05	2.81284e-16	0.0102837	0.00692764	0.00667119	7.79849e-07	5.18547e-05	0.96
127	0.0130444	0.00876102	0.00805085	1.38737e-05	2.72863e-16	0.012632	0.00867401	0.00806492	1.07841e-06	4.68711e-05	0.98
128	0.0119667	0.00764649	0.0075232	1.68899e-05	2.78966e-16	0.011265	0.00759389	0.00718602	3.52286e-06	5.9733e-05	0.98
129	0.0114153	0.00740369	0.00725051	1.04518e-05	2.76367e-16	0.0112281	0.00752625	0.0073286	9.46988e-07	4.5668e-05	0.96
130	0.0138335	0.00901683	0.00871221	2.17642e-05	2.76744e-16	0.0132692	0.00890995	0.00865552	1.21995e-06	5.46416e-05	0.96
131	0.0167654	0.010976	0.0104613	1.84139e-05	2.76301e-16	0.0162768	0.0112128	0.0102911	1.3953e-06	5.88179e-05	0.96
132	0.0119565	0.00746697	0.00764914	2.03843e-05	2.88235e-16	0.0112434	0.00755889	0.00728264	1.09567e-06	5.719e-05	0.96
133	0.0129833	0.00843367	0.00831202	1.10287e-05	2.83999e-16	0.0132278	0.0088056	0.00882026	1.19512e-06	4.70512e-05	0.98
134	0.017133	0.0110869	0.0111659	3.08384e-05	2.8948e-16	0.0165135	0.010991	0.0108566	1.49256e-06	6.91402e-05	0.96
135	0.015409	0.00953005	0.0100015	2.77953e-05	2.77857e-16	0.0144257	0.00971583	0.00934321	1.51461e-06	7.14834e-05	0.96
136	0.0152597	0.00971976	0.00978621	2.06885e-05	2.87913e-16	0.0140456	0.00947073	0.00906014	1.58668e-06	5.96757e-05	0.98
137	0.017353	0.0114172	0.0105882	3.94238e-05	2.82451e-16	0.0161358	0.0111383	0.0101819	1.4305e-06	7.45762e-05	0.94
138	0.0132537	0.00840177	0.00844155	2.04513e-05	2.75215e-16	0.0126158	0.00852973	0.00810703	1.32214e-06	5.98209e-05	0.98
139	0.0164147	0.010173	0.010569	4.69657e-05	2.80385e-16	0.0144948	0.0102002	0.008908	1.72905e-06	7.27483e-05	0.96
140	0.0191385	0.0120699	0.0123189	6.36347e-05	2.83443e-16	0.0174123	0.0117484	0.0112477	2.05834e-06	8.98374e-05	0.96
141	0.0123079	0.00751813	0.00811398	1.53972e-05	2.84353e-16	0.011878	0.00737207	0.00830024	1.43856e-06	5.45597e-05	0.96
142	0.0158791	0.00969224	0.0101056	9.53706e-05	2.82496e-16	0.014415	0.00976375	0.00929495	1.5728e-06	7.94214e-05	1
143	0.0162329	0.010677	0.0100614	3.12095e-05	2.85769e-16	0.0150443	0.0103135	0.00964134	1.70682e-06	6.22981e-05	1
144	0.0190077	0.0123914	0.011985	3.62123e-05	2.86425e-16	0.0189163	0.012794	0.0121592	1.91349e-06	7.13641e-05	0.98
145	0.0176068	0.0115231	0.0111502	2.02333e-05	2.78626e-16	0.0172113	0.0116666	0.0111138	1.74196e-06	5.37484e-05	0.98
146	0.0208185	0.0138247	0.0124343	8.89185e-05	2.83053e-16	0.0198808	0.013902	0.0122087	3.53939e-05	8.98768e-05	0.96
147	0.0172606	0.0115032	0.0106384	2.90552e-05	2.83894e-16	0.0166987	0.0113951	0.010632	2.16348e-06	6.56406e-05	0.96
148	0.0159342	0.0104482	0.00997533	2.16516e-05	2.89625e-16	0.0152639	0.0102914	0.00980027	2.08152e-06	5.51741e-05	0.94
