FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRt_cost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRt_cost	rank3_rate
142	0.0592448	0.0354856	0.0342702	0.00272007	6.01095e-16	0.0214628	0.0148347	0.0138704	3.94649e-06	2.27933e-06	0.9
143	0.0392889	0.02378	0.0227443	0.00124758	5.73236e-16	0.0163801	0.0113546	0.0103206	2.34668e-06	1.11537e-06	0.96
144	0.0525331	0.0301047	0.0326757	0.00226406	5.808e-16	0.0248675	0.0175072	0.0154437	3.05978e-06	1.52853e-06	0.9
145	0.141437	0.084577	0.0793214	0.0259281	6.07375e-16	0.0258462	0.0172376	0.0169103	3.51822e-06	5.3342e-06	0.92
146	0.0798256	0.0462849	0.0491935	0.0057167	6.05512e-16	0.0242523	0.0162151	0.0158602	2.79715e-06	2.05479e-06	0.9
147	0.0732576	0.0458402	0.0416234	0.00290374	5.89676e-16	0.0346135	0.0246133	0.0211801	4.45816e-06	2.85163e-06	0.88
148	1.40326	0.678606	0.940268	18.3824	6.11641e-16	0.02702	0.0183499	0.0175366	4.66563e-06	5.80124e-05	0.82
149	0.10898	0.0632511	0.0653354	0.0196251	5.62268e-16	0.0257635	0.0176837	0.0164925	3.93279e-06	4.99806e-06	0.96
150	0.0973084	0.0548672	0.0618308	0.00595035	5.87641e-16	0.0299575	0.0208063	0.019146	5.30858e-06	3.40438e-06	0.88
151	0.0684001	0.0418709	0.0421156	0.00243314	6.01098e-16	0.0339563	0.0241357	0.0207473	4.85159e-06	1.96257e-06	0.86
152	0.0939257	0.0569465	0.0529098	0.0180046	6.13433e-16	0.0235707	0.0157538	0.0151019	4.00953e-06	2.55444e-06	0.92
153	0.107527	0.0630765	0.0618347	0.0206957	5.83022e-16	0.0189015	0.0126352	0.0124338	2.65298e-06	2.89246e-06	0.96
154	0.0631587	0.037734	0.0392166	0.00162063	5.8937e-16	0.026899	0.018175	0.017665	3.72673e-06	2.17618e-06	0.9
155	0.088884	0.0513695	0.0578466	0.00570894	6.04942e-16	0.029361	0.019743	0.0194148	3.7226e-06	2.85006e-06	0.94
156	0.0823686	0.0484332	0.0506363	0.0111613	5.81299e-16	0.026635	0.0181819	0.0172267	4.4806e-06	2.16242e-06	0.9
157	0.0964019	0.0621936	0.0532561	0.00995628	5.97799e-16	0.0319715	0.0229621	0.0196668	4.29279e-06	3.77971e-06	0.94
